Datum,Turnier,Serie,Court,Belag,Runde,BestOf,Sieger,Verlierer,SRang,VRang,S1,V1,S2,V2,S3,V3,S4,V4,S5,V5,SSaetze,VSaetze,SSpiele,VSpiele,Status,QuoteS,QuoteV
2024-01-11,Adelaide International,ATP250,Outdoor,Hard,Quarterfinals,3,Draper J.,Paul T.,62,14,6,1,6,4,,,,,,,2,,12,5,Completed,2.16,1.69
2024-01-12,Adelaide International,ATP250,Outdoor,Hard,Semifinals,3,Lehecka J.,Korda S.,32,29,6,2,6,1,,,,,,,2,,12,3,Completed,2.39,1.57
2024-01-12,Adelaide International,ATP250,Outdoor,Hard,Semifinals,3,Draper J.,Bublik A.,62,31,7,6,6,4,,,,,,,2,,13,10,Completed,1.44,2.77
2024-01-13,Adelaide International,ATP250,Outdoor,Hard,The Final,3,Lehecka J.,Draper J.,32,62,4,6,6,4,6,3,,,,,2,1,16,13,Completed,2.32,1.6
2024-01-07,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Giron M.,57,60,7,6,6,2,,,,,,,2,,13,8,Completed,2.49,1.52
2024-01-07,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,74,63,7,5,7,5,,,,,,,2,,14,10,Completed,1.72,2.1
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Van Assche L.,Wolf J.J.,87,54,6,4,6,2,,,,,,,2,,12,6,Completed,2.19,1.66
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Gojo B.,82,91,1,6,6,3,6,2,,,,,2,1,13,11,Completed,2.47,1.53
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,7,6,6,2,,,,,,,2,,13,8,Completed,1.41,2.83
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Bonzi B.,79,110,6,3,7,5,,,,,,,2,,13,8,Completed,1.97,1.82
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Michelsen A.,66,92,0,6,7,6,6,3,,,,,2,1,13,15,Completed,2.64,1.47
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Monfils G.,65,75,6,4,6,7,7,6,,,,,2,1,19,17,Completed,2.53,1.51
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Bautista Agut R.,67,51,6,4,6,3,,,,,,,2,,12,7,Completed,5.55,1.14
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Shapovalov D.,37,116,6,4,6,2,,,,,,,2,,12,6,Completed,1.8,1.99
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,Pannu K.,45,716,6,4,6,4,,,,,,,2,,12,8,Completed,1.04,10.18
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gasquet R.,35,76,6,3,6,4,,,,,,,2,,12,7,Completed,1.34,3.19
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Muller A.,Cerundolo F.,79,22,6,1,6,1,,,,,,,2,,12,2,Completed,2.23,1.64
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Altmaier D.,Auger-Aliassime F.,57,27,7,6,7,5,,,,,,,2,,14,11,Completed,2.96,1.39
2024-01-10,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Daniel T.,Purcell M.,74,45,6,2,6,4,,,,,,,2,,12,6,Completed,2.15,1.68
2024-01-10,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Shelton B.,Marozsan F.,16,65,6,3,6,4,,,,,,,2,,12,7,Completed,1.46,2.69
2024-01-10,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Carballes Baena R.,Ofner S.,67,37,7,5,6,3,,,,,,,2,,13,8,Completed,3.33,1.32
2024-01-10,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Borges N.,35,66,6,2,6,0,,,,,,,2,,12,2,Completed,1.26,3.75
2024-01-10,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Tabilo A.,Van De Zandschulp B.,82,59,7,5,6,3,,,,,,,2,,13,8,Completed,2.71,1.45
2024-01-10,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Van Assche L.,19,87,6,3,6,7,6,1,,,,,2,1,18,11,Completed,1.4,2.91
2024-01-10,ASB Classic,ATP250,Outdoor,Hard,Quarterfinals,3,Daniel T.,Muller A.,74,79,6,4,6,7,6,3,,,,,2,1,18,14,Completed,1.86,1.93
2024-01-11,ASB Classic,ATP250,Outdoor,Hard,Quarterfinals,3,Shelton B.,Carballes Baena R.,16,67,6,4,6,3,,,,,,,2,,12,7,Completed,1.17,5.0
