Tour,Zeit,Turnier,Belag,BestOf,Runde,Spieler1,Spieler2
WTA,2026-09-02T17:00Z,US Open,,,,Hubert Hurkacz,Ben Shelton
WTA,2026-09-02T18:00Z,US Open,,,,Francesco Passaro,Jesper de Jong
WTA,2026-09-02T18:00Z,US Open,,,,Carlos Taberner,Zizou Bergs
WTA,2026-09-02T18:30Z,US Open,,,,Wu Yibing,James Duckworth
WTA,2026-09-02T18:30Z,US Open,,,,Luca Van Assche,Denis Shapovalov
WTA,2026-09-02T19:30Z,US Open,,,,Tommy Paul,Dino Prizmic
WTA,2026-09-02T19:30Z,US Open,,,,Toby Samuel,Jiri Lehecka
WTA,2026-09-02T20:00Z,US Open,,,,Mariano Navone,Matteo Berrettini
WTA,2026-09-02T20:00Z,US Open,,,,Adrian Mannarino,Alexander Bublik
WTA,2026-09-02T20:30Z,US Open,,,,Stefanos Tsitsipas,Lloyd Harris
WTA,2026-09-02T22:00Z,US Open,,,,Kamil Majchrzak,Valentin Vacherot
WTA,2026-09-02T23:00Z,US Open,,,,Frances Tiafoe,Rei Sakamoto
WTA,2026-09-03T00:30Z,US Open,,,,Carlos Alcaraz,Jaime Faria
WTA,2026-09-03T04:00Z,US Open,,,,Arthur Gea,TBD
WTA,2026-09-03T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-03T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-03T04:00Z,US Open,,,,Karen Khachanov,Felix Auger-Aliassime
WTA,2026-09-03T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-03T04:00Z,US Open,,,,Quentin Halys,Alexander Zverev
WTA,2026-09-03T04:00Z,US Open,,,,Alejandro Tabilo,Alexei Popyrin
WTA,2026-09-03T04:00Z,US Open,,,,Lorenzo Musetti,Dane Sweeny
WTA,2026-09-03T04:00Z,US Open,,,,Dalibor Svrcina,Luciano Darderi
WTA,2026-09-03T04:00Z,US Open,,,,Francisco Cerundolo,Jan-Lennard Struff
WTA,2026-09-03T04:00Z,US Open,,,,Marco Trungelliti,Alexander Blockx
WTA,2026-09-03T04:00Z,US Open,,,,Flavio Cobolli,Tristan Schoolkate
WTA,2026-09-03T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-03T04:00Z,US Open,,,,Jurij Rodionov,Jakub Mensik
WTA,2026-09-03T04:00Z,US Open,,,,Mattia Bellucci,Taylor Fritz
WTA,2026-09-03T04:00Z,US Open,,,,Learner Tien,Gael Monfils
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-04T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-05T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-06T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-06T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-06T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-06T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-07T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-07T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-07T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-07T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-08T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-08T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-09T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-09T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-11T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-11T04:00Z,US Open,,,,TBD,TBD
WTA,2026-09-13T18:00Z,US Open,,,,TBD,TBD
WTA,2026-09-02T15:00Z,US Open,,,,Sorana Cirstea,Diane Parry
WTA,2026-09-02T15:00Z,US Open,,,,Leylah Fernandez,Mananchaya Sawangkaew
WTA,2026-09-02T15:00Z,US Open,,,,Lucrezia Stefanini,Jasmine Paolini
WTA,2026-09-02T15:00Z,US Open,,,,Taylah Preston,Taylor Townsend
WTA,2026-09-02T15:00Z,US Open,,,,Diana Shnaider,Karolina Pliskova
WTA,2026-09-02T15:30Z,US Open,,,,Sofia Kenin,Jessica Pegula
WTA,2026-09-02T16:30Z,US Open,,,,Paula Badosa,Daria Kasatkina
WTA,2026-09-02T17:00Z,US Open,,,,Catherine McNally,Emma Navarro
WTA,2026-09-02T17:00Z,US Open,,,,Sloane Stephens,Marta Kostyuk
WTA,2026-09-02T18:00Z,US Open,,,,Mayar Sherif,Nikola Bartunkova
WTA,2026-09-02T18:00Z,US Open,,,,Magdalena Frech,Iva Jovic
WTA,2026-09-02T18:00Z,US Open,,,,Francesca Jones,Magda Linette
WTA,2026-09-02T18:00Z,US Open,,,,Jelena Ostapenko,Tatjana Maria
WTA,2026-09-02T18:30Z,US Open,,,,Anna Kalinskaya,Wang Xinyu
WTA,2026-09-02T19:00Z,US Open,,,,Karolina Muchova,Katie Boulter
